Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Frontend Engineer,Gojek,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,17000000,Net,Monthly,RSU,
Android Developer,Purchase to unlock 👆,Fintech,0,Jakarta,ID,Female,IDR,6000000,Net,Monthly,Insurance,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,26000000,Net,Monthly,"Medical Insurance, annual leave, gym, lunch",
Android Developer,Purchase to unlock 👆,Bank,2,Semarang,ID,Female,IDR,4500000,Net,Monthly,,
Software Engineer,Gojek,Other / Unknown,4,Bekasi,ID,Prefer not to tell,IDR,31000000,Net,Monthly,Insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,5,Yogyakarta,ID,Female,IDR,30000000,Gross,Monthly,"Insurance, Car ownership program, danone stock, deposito pension program (differ from bpjs), 6 months birth leave",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Surabaya,ID,Prefer not to tell,IDR,12000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,8600000,Gross,Monthly,,
IT Support,Purchase to unlock 👆,Consultancy,9,Bekasi,ID,Male,IDR,20000000,Gross,Monthly,,
IT Support,Traveloka,Other / Unknown,5,Jakarta,ID,Female,IDR,11500000,Net,Monthly,"Transport, Lunch, Yearly Traveloka points value 5mio++",
IT Support,Traveloka,Other / Unknown,5,Jakarta,ID,Female,IDR,11500000,Net,Monthly,"Transport, Lunch, Yearly Traveloka points value 5mio++",
UI Designer,Gojek,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,32000000,Gross,Monthly,RSU,
UI Designer,Gojek,Other / Unknown,1,Semarang,ID,Male,IDR,3300000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,6600000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,3,Yogyakarta,ID,Prefer not to tell,IDR,18600000,Gross,Monthly,,
Tester,Gojek,Other / Unknown,2,Yogyakarta,ID,Female,IDR,2000000,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,9000000,Gross,Monthly,,
Software Engineer,Bukalapak,Other / Unknown,6,Depok,ID,Male,IDR,24000000,Net,Monthly,"Medical insurance, budget entertainmenr, WFH",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,7500000,Net,Monthly,,
Project Manager,Lazada,Other / Unknown,10,Jakarta,ID,Prefer not to tell,IDR,21000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,9,Jakarta,ID,Prefer not to tell,IDR,14000000,Net,Monthly,,
Software Engineer,Bukalapak,Other / Unknown,5,Depok,ID,Male,IDR,28000000,Net,Monthly,,
Software Engineer,Shopee,Other / Unknown,2,Jakarta,ID,Male,IDR,5660000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Female,IDR,18000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Female,IDR,16000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Food Startup,0,Jakarta,ID,Male,IDR,6000000,Gross,Monthly,BPJS,
